ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013597060640145408,en,2018-07-02 01:35:45,Twitter for Android,140,"RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 

1/7/2006: #POR's Ricardo vs. #ENG 

1/7/20…",Only two goalkeepers have saved three penalties in penalty shoot out Ricardo vs,0,477,"WorldCup,POR,ENG",Squawka Football,Squawka,Cayleb,Accra,861,828
1013597056219295744,en,2018-07-02 01:35:44,Twitter for Android,139,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!…",scores the winning penalty to send into the quarter finals where they will face Russia,0,1031,WorldCup,"FC Barcelona,Ivan Rakitic,HNS | CFF","FCBarcelona,ivanrakitic,HNS_CFF",Febri Aditya,Bogor,667,686
1013597047482544130,en,2018-07-02 01:35:42,Twitter for Android,107,RT @javierfernandez: Tonight we have big game.... @EvgeniPlushenko ?????? #worldcup https://t.co/LKifuNlubC,Tonight we have big game,0,488,worldcup,"Javier Fernandez,Evgeni Plushenko","javierfernandez,EvgeniPlushenko",??,,65,67
1013597044198391808,en,2018-07-02 01:35:41,Twitter Web Client,142,"We get stronger
Turn the music up now
We got that power power~

#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague 
@weareoneEXO @FIFAWorldCup",We get stronger Turn the music up now We got that power power,0,0,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague","EXO,FIFA World Cup ?","weareoneEXO,FIFAWorldCup",Frida Carrillo,"Zapopan, Jalisco",17,89
1013597039999926272,en,2018-07-02 01:35:40,Twitter for Android,140,"RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 

1/7/2006: #POR's Ricardo vs. #ENG 

1/7/20…",Only two goalkeepers have saved three penalties in penalty shoot out Ricardo vs,0,477,"WorldCup,POR,ENG",Squawka Football,Squawka,tar,,137,216
1013597039995867143,en,2018-07-02 01:35:40,Twitter for Android,140,"RT @FIFAWorldCup: ""We’re looking strong going into the knockout stage"" ?
We caught up with @CBF_Futebol's @Casemiro ahead of #BRAMEX
#World…",We re looking strong going into the knockout stage We caught up with ahead of,0,153,BRAMEX,"FIFA World Cup ?,CBF Futebol,Casemiro","FIFAWorldCup,CBF_Futebol,Casemiro",Ligefut,,29,283
1013597039978995712,en,2018-07-02 01:35:40,Twitter for iPhone,140,"RT @ShShShShShSh555: I'm happy for #Russia winning. Especially since, you know, we colluded and all. 
Russia eliminates Spain after penalty…",am happy for winning Especially since you know we colluded and all Russia eliminates Spain after penalty,0,4,Russia,V?Deplorable?45  ??,ShShShShShSh555,?a?????,Mount Olympus ,208,338
1013597038951436288,en,2018-07-02 01:35:40,Twitter Web Client,138,"RT @FridaCarrillo05: When you see me
When we feel the same feeling
Power power~

?????
#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague…",When you see me When we feel the same feeling Power power,0,1,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague",Frida Carrillo,FridaCarrillo05,"STAN LEGENDS, STAN EXO","Lima, Peru",7,9
1013597038188154880,en,2018-07-02 01:35:40,Twitter for Android,138,"RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?
#CRODEN #WorldCup https://t.co/2XfblBT7ki",Kasper Schmeichel takes the final award of the day,0,2199,"ManoftheMatch,CRODEN,WorldCup","FIFA World Cup ?,Budweiser","FIFAWorldCup,Budweiser",Sky Ler,,1,6
1013597037118525440,en,2018-07-02 01:35:40,Twitter Lite,139,"RT @BTSARMYNA: .@BTS_twt After 5 Years
1. Global Puma Ambassador
2. LG Mobile Ambassador
3. CocaCola WorldCup
4. Kookmin Bank
5. UNICEF
6.…",After Years Global Puma Ambassador LG Mobile Ambassador CocaCola WorldCup Kookmin Bank UNICEF,0,5146,,"???? & ???? ???? ™ ??,?????","BTSARMYNA,BTS_twt",Kate,Meme City ,158,245
